oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Check,actions/1/action_code,B33,actions/2/action_code,B66,actions/3/action_code,B130,actions/4/action_code,AI,flop
2.24269,0.48702,3.299,0.51298,0.7674873555,1.071841698,X,0.52429,R2,0.17003,R3.95,0.30129,R7.8,0.00438,RAI,0,2h2d2c
2.36538,0.52039,3.17337,0.47961,0.7575664938,1.102760545,X,0.50079,R2,0.09858,R3.95,0.38726,R7.8,0.01337,RAI,0,3h2h2d
2.26573,0.51651,3.27138,0.48349,0.7311022895,1.127696544,X,0.50391,R2,0.02443,R3.95,0.45988,R7.8,0.01179,RAI,0,3h2d2c
2.39344,0.5257,3.14349,0.4743,0.7588105163,1.104606822,X,0.49533,R2,0.06731,R3.95,0.42063,R7.8,0.01672,RAI,0,3h3d2h
2.31557,0.52337,3.21778,0.47663,0.737391009,1.125184489,X,0.48956,R2,0.02041,R3.95,0.47402,R7.8,0.01601,RAI,0,3d3c2h
2.20895,0.49147,3.33107,0.50853,0.7490962493,1.091731661,X,0.48674,R2,0.19408,R3.95,0.31801,R7.8,0.00117,RAI,0,3h3d3c
2.35504,0.51947,3.1839,0.48053,0.7555906919,1.104301556,X,0.49231,R2,0.11222,R3.95,0.38307,R7.8,0.0124,RAI,0,4h2h2d
2.2378,0.51473,3.30164,0.48527,0.7245869952,1.133952946,X,0.49765,R2,0.03096,R3.95,0.46097,R7.8,0.01043,RAI,0,4h2d2c
2.51504,0.50769,3.03523,0.49231,0.8256481511,1.027547006,X,0.60248,R2,0.38152,R3.95,0.01204,R7.8,0.00395,RAI,0,4h3h2h
2.40742,0.5122,3.1344,0.4878,0.783359342,1.070930667,X,0.50334,R2,0.23838,R3.95,0.25049,R7.8,0.00779,RAI,0,4h3h2d
2.4079,0.51216,3.13373,0.48784,0.7835767729,1.070613984,X,0.50341,R2,0.23602,R3.95,0.25271,R7.8,0.00785,RAI,0,4h3d2h
2.40605,0.51184,3.13576,0.48816,0.7834642445,1.070605259,X,0.50351,R2,0.24765,R3.95,0.2414,R7.8,0.00744,RAI,0,4d3h2h
2.36021,0.51257,3.17877,0.48743,0.7674430918,1.086915053,X,0.49127,R2,0.16216,R3.95,0.34464,R7.8,0.00194,RAI,0,4h3d2c
2.38884,0.52081,3.14881,0.47919,0.7644630234,1.095184917,X,0.48394,R2,0.07732,R3.95,0.42296,R7.8,0.01578,RAI,0,4h3h3d
2.3026,0.51898,3.23177,0.48102,0.7394632389,1.11976287,X,0.46776,R2,0.02936,R3.95,0.4877,R7.8,0.01518,RAI,0,4h3d3c
2.46576,0.52838,3.07132,0.47162,0.7777736039,1.085379507,X,0.49018,R2,0.14554,R3.95,0.35205,R7.8,0.01223,RAI,0,4h4d2h
2.4098,0.52676,3.12414,0.47324,0.7624598598,1.100266286,X,0.49065,R2,0.03388,R3.95,0.46242,R7.8,0.01306,RAI,0,4d4c2h
2.43991,0.52237,3.0972,0.47763,0.778474397,1.080752879,X,0.47852,R2,0.17796,R3.95,0.33295,R7.8,0.01058,RAI,0,4h4d3h
2.40188,0.52182,3.1331,0.47818,0.7671483096,1.092022561,X,0.48522,R2,0.04492,R3.95,0.45835,R7.8,0.01151,RAI,0,4d4c3h
