oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,R150,actions/5/action_code,AI,flop
1.58668,0.4396,5.24553,0.5604,0.6562495193,1.282237258,F,0.23887,C,0.54243,R6.35,0.21028,R10.9,0.00841,RAI,0,2h2d2c,,
1.71364,0.45483,5.13716,0.54517,0.6850271766,1.290827654,F,0.30919,C,0.51028,R6.35,0.17457,R10.9,0.00595,RAI,0,3h2h2d,,
1.69962,0.45006,5.14495,0.54994,0.6866235899,1.281571939,F,0.2909,C,0.52092,R6.35,0.18283,R10.9,0.00535,RAI,0,3h2d2c,,
1.6803,0.45533,5.17098,0.54467,0.6709618977,1.300518552,F,0.3151,C,0.49807,R6.35,0.18133,R10.9,0.0055,RAI,0,3h3d2h,,
1.64251,0.45072,5.20326,0.54928,0.6625802805,1.29765393,F,0.30109,C,0.50568,R6.35,0.18574,R10.9,0.00749,RAI,0,3d3c2h,,
1.65159,0.44296,5.17735,0.55704,0.6779146944,1.273204911,F,0.22639,C,0.55784,R6.35,0.21037,R10.9,0.00539,RAI,0,3h3d3c,,
1.7026,0.45362,5.14674,0.54638,0.6824294471,1.290370974,F,0.30775,C,0.5063,R6.35,0.1799,R10.9,0.00604,RAI,0,4h2h2d,,
1.69715,0.44722,5.14558,0.55278,0.6899797134,1.275143786,F,0.28462,C,0.52798,R6.35,0.18275,R10.9,0.00464,RAI,0,4h2d2c,,
1.78701,0.46976,5.06265,0.53024,0.6916529724,1.307924199,F,0.30865,C,0.63338,R6.35,0.054,R10.9,0.00397,RAI,0,4h3h2h,,
1.71488,0.46637,5.12951,0.53363,0.6685600934,1.31677862,F,0.28762,C,0.5641,R6.35,0.14419,R10.9,0.00409,RAI,0,4h3h2d,,
1.71268,0.4663,5.13185,0.5337,0.6678026019,1.317206544,F,0.2882,C,0.56064,R6.35,0.14633,R10.9,0.00483,RAI,0,4h3d2h,,
1.71242,0.46619,5.13201,0.53381,0.6678587735,1.316976154,F,0.28874,C,0.56177,R6.35,0.14503,R10.9,0.00446,RAI,0,4d3h2h,,
1.72538,0.46882,5.11523,0.53118,0.6691383485,1.31916943,F,0.2705,C,0.5969,R6.35,0.13058,R10.9,0.00202,RAI,0,4h3d2c,,
1.66542,0.45815,5.18363,0.54185,0.660926873,1.310485076,F,0.3092,C,0.49872,R6.35,0.18664,R10.9,0.00544,RAI,0,4h3h3d,,
1.59773,0.45099,5.2443,0.54901,0.6441304165,1.308532218,F,0.29139,C,0.5188,R6.35,0.18516,R10.9,0.00465,RAI,0,4h3d3c,,
1.68309,0.45668,5.16877,0.54332,0.6700892498,1.303192708,F,0.31737,C,0.50011,R6.35,0.17686,R10.9,0.00567,RAI,0,4h4d2h,,
1.6278,0.452,5.21956,0.548,0.6547868126,1.304759613,F,0.31013,C,0.49757,R6.35,0.18686,R10.9,0.00544,RAI,0,4d4c2h,,
1.68316,0.4591,5.16722,0.5409,0.6665847876,1.308630768,F,0.31258,C,0.50372,R6.35,0.17871,R10.9,0.00499,RAI,0,4h4d3h,,
1.62991,0.45498,5.21653,0.54502,0.6513413347,1.311131977,F,0.30456,C,0.5047,R6.35,0.186,R10.9,0.00473,RAI,0,4d4c3h,,
1.66508,0.4444,5.16842,0.5556,0.6812371755,1.274302976,F,0.24558,C,0.54566,R6.35,0.20487,R10.9,0.00389,RAI,0,4h4d4c,,
1.70862,0.45378,5.14084,0.54622,0.6846008556,1.289269267,F,0.30795,C,0.50141,R6.35,0.18472,R10.9,0.00592,RAI,0,5h2h2d,,
1.7027,0.4454,5.13974,0.5546,0.6950647101,1.269516716,F,0.2797,C,0.53236,R6.35,0.1838,R10.9,0.00415,RAI,0,5h2d2c,,
1.80013,0.47072,5.04912,0.52928,0.6953100998,1.306794623,F,0.30889,C,0.62434,R6.35,0.06235,R10.9,0.00442,RAI,0,5h3h2h,,
1.73563,0.46696,5.10806,0.53304,0.6757946904,1.312723712,F,0.28442,C,0.56632,R6.35,0.1438,R10.9,0.00546,RAI,0,5d3h2h,,
1.73479,0.46707,5.10916,0.53293,0.6753085164,1.313277358,F,0.28614,C,0.55579,R6.35,0.15315,R10.9,0.00493,RAI,0,5h3h2d,,
1.73526,0.46739,5.10873,0.53261,0.6750290323,1.313955815,F,0.28621,C,0.55428,R6.35,0.1546,R10.9,0.00492,RAI,0,5h3d2h,,
1.75132,0.46964,5.08868,0.53036,0.6780125798,1.314351469,F,0.26573,C,0.59782,R6.35,0.12929,R10.9,0.00717,RAI,0,5h3d2c,,
1.67391,0.45947,5.17399,0.54053,0.6623876948,1.311242093,F,0.30331,C,0.50393,R6.35,0.18803,R10.9,0.00474,RAI,0,5h3h3d,,
1.5909,0.45006,5.2499,0.54994,0.6427021484,1.307714256,F,0.28291,C,0.52779,R6.35,0.18567,R10.9,0.00363,RAI,0,5h3d3c,,
1.81365,0.47313,5.03344,0.52687,0.6969639554,1.308695367,F,0.30246,C,0.61951,R6.35,0.07312,R10.9,0.0049,RAI,0,5h4h2h,,
1.7116,0.46819,5.12959,0.53181,0.6646873719,1.321305702,F,0.27902,C,0.54861,R6.35,0.16632,R10.9,0.00605,RAI,0,5h4h2d,,
1.71924,0.46926,5.12157,0.53074,0.6661319462,1.321899455,F,0.27732,C,0.55373,R6.35,0.16442,R10.9,0.00453,RAI,0,5h4d2h,,
