oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,R150,actions/5/action_code,AI,flop
1.34456,0.45364,7.36304,0.54636,0.5388974781,1.472845374,F,0.47999,C,0.33206,R10.05,0.181,R16.45,0.00694,RAI,0,2h2d2c,,
1.5421,0.47144,7.15569,0.52856,0.5947348911,1.479572176,F,0.45567,C,0.4239,R10.05,0.11972,R16.45,0.00072,RAI,0,3h2h2d,,
1.58416,0.4737,7.11015,0.5263,0.6080411515,1.476468819,F,0.44604,C,0.42647,R10.05,0.12728,R16.45,0.00021,RAI,0,3h2d2c,,
1.52018,0.47413,7.1798,0.52587,0.5829547984,1.492151219,F,0.46073,C,0.40609,R10.05,0.13296,R16.45,0.00022,RAI,0,3h3d2h,,
1.55814,0.47799,7.13877,0.52201,0.5926864331,1.494594762,F,0.45432,C,0.3998,R10.05,0.14565,R16.45,0.00023,RAI,0,3d3c2h,,
1.42874,0.45865,7.27533,0.54135,0.5663815928,1.468768874,F,0.46996,C,0.34596,R10.05,0.18189,R16.45,0.00218,RAI,0,3h3d3c,,
1.54981,0.47167,7.14779,0.52833,0.5974169329,1.478581925,F,0.45655,C,0.41438,R10.05,0.12791,R16.45,0.00116,RAI,0,4h2h2d,,
1.59947,0.47326,7.09456,0.52674,0.6144883145,1.472000879,F,0.44511,C,0.4258,R10.05,0.12852,R16.45,0.00057,RAI,0,4h2d2c,,
1.67799,0.48255,7.0211,0.51745,0.6322434704,1.482913084,F,0.46717,C,0.52149,R10.05,0.00857,R16.45,0.00213,RAI,0.00063,4h3h2h,,
1.56639,0.4838,7.12906,0.5162,0.5886692687,1.509361117,F,0.44763,C,0.44557,R10.05,0.1065,R16.45,0.0003,RAI,0,4h3h2d,,
1.56646,0.48386,7.12955,0.51614,0.5886225762,1.509640435,F,0.4488,C,0.44118,R10.05,0.10807,R16.45,0.00195,RAI,0,4h3d2h,,
1.55108,0.48252,7.14481,0.51748,0.5844618568,1.508954066,F,0.44795,C,0.44634,R10.05,0.10424,R16.45,0.00147,RAI,0,4d3h2h,,
1.54627,0.48504,7.14159,0.51496,0.5796222932,1.515654936,F,0.42728,C,0.49789,R10.05,0.07333,R16.45,0.00149,RAI,0,4h3d2c,,
