oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,R150,actions/5/action_code,AI,flop
1.35709,0.43634,7.35199,0.56366,0.5654847901,1.425497929,F,0.48379,C,0.3696,R10.05,0.14398,R16.45,0.00263,R22.85,0,RAI,0,2h2d2c
1.53759,0.44958,7.16411,0.55042,0.6218288503,1.422482615,F,0.46734,C,0.41096,R10.05,0.12046,R16.45,0.00119,R22.85,0.00005,RAI,0,3h2h2d
1.66513,0.45568,7.03364,0.54432,0.6643936625,1.412227794,F,0.46102,C,0.39973,R10.05,0.13864,R16.45,0.00057,R22.85,0.00003,RAI,0,3h2d2c
1.50784,0.45124,7.19773,0.54876,0.6075541445,1.433481249,F,0.47293,C,0.39709,R10.05,0.12784,R16.45,0.00129,R22.85,0.00084,RAI,0,3h3d2h
1.58898,0.45708,7.11296,0.54292,0.6320675659,1.431836499,F,0.46946,C,0.37639,R10.05,0.15406,R16.45,0.0001,R22.85,0,RAI,0,3d3c2h
1.43202,0.44206,7.27962,0.55794,0.5889862623,1.425936292,F,0.49123,C,0.3464,R10.05,0.16213,R16.45,0.00025,R22.85,0,RAI,0,3h3d3c
1.5318,0.45269,7.16718,0.54731,0.61523138,1.431178628,F,0.46067,C,0.42457,R10.05,0.11345,R16.45,0.0013,R22.85,0.00001,RAI,0,4h2h2d
1.66394,0.45855,7.03251,0.54145,0.6597634562,1.419485221,F,0.45193,C,0.4205,R10.05,0.12699,R16.45,0.00056,R22.85,0.00001,RAI,0,4h2d2c
1.5777,0.47762,7.13181,0.52238,0.6005915697,1.492080125,F,0.48301,C,0.50982,R10.05,0.00332,R16.45,0.00158,R22.85,0.00149,RAI,0.00077,4h3h2h
1.52717,0.46301,7.16976,0.53699,0.5997003401,1.459208499,F,0.45072,C,0.45224,R10.05,0.09676,R16.45,0.00027,R22.85,0.00001,RAI,0.00001,4h3h2d
1.52784,0.46325,7.16945,0.53675,0.5996526444,1.459797671,F,0.45234,C,0.44689,R10.05,0.10057,R16.45,0.00019,R22.85,0.00001,RAI,0,4h3d2h
1.52313,0.4631,7.17419,0.5369,0.5979977245,1.460354832,F,0.45193,C,0.44914,R10.05,0.09843,R16.45,0.00049,R22.85,0.00001,RAI,0,4d3h2h
