oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,R150,actions/5/action_code,AI,flop
1.30046,0.4226,7.42456,0.5774,0.5595060782,1.405312244,F,0.53094,C,0.33821,R10.05,0.12406,R16.45,0.00673,R22.85,0.00007,RAI,0,2h2d2c
1.56161,0.43596,7.13941,0.56404,0.651273262,1.383347605,F,0.46928,C,0.41538,R10.05,0.10138,R16.45,0.01372,R22.85,0.00025,RAI,0,3h2h2d
1.72309,0.44526,6.97651,0.55474,0.7036093714,1.374445864,F,0.46255,C,0.403,R10.05,0.13325,R16.45,0.0012,R22.85,0,RAI,0,3h2d2c
1.51005,0.43646,7.19161,0.56354,0.6290486262,1.394698364,F,0.47667,C,0.39678,R10.05,0.11111,R16.45,0.01467,R22.85,0.00077,RAI,0,3h3d2h
1.65954,0.44602,7.04817,0.55398,0.6765045312,1.39046865,F,0.47833,C,0.36454,R10.05,0.15098,R16.45,0.004,R22.85,0.00185,RAI,0.00029,3d3c2h
1.39951,0.42807,7.32161,0.57193,0.5944269936,1.399080247,F,0.51893,C,0.34638,R10.05,0.13399,R16.45,0.0007,R22.85,0,RAI,0,3h3d3c
1.56282,0.4389,7.13677,0.5611,0.6474119097,1.390081679,F,0.46428,C,0.42141,R10.05,0.10148,R16.45,0.01279,R22.85,0.00003,RAI,0,4h2h2d
1.73885,0.44734,6.9576,0.55266,0.7067432754,1.375879331,F,0.4547,C,0.41977,R10.05,0.12353,R16.45,0.00198,R22.85,0.00001,RAI,0,4h2d2c
1.57065,0.47181,7.12784,0.52819,0.6052705878,1.474845959,F,0.48468,C,0.50577,R10.05,0.00653,R16.45,0.00124,R22.85,0.00122,RAI,0.00056,4h3h2h
1.51235,0.45528,7.18455,0.54472,0.6039639716,1.441468477,F,0.45322,C,0.43513,R10.05,0.11036,R16.45,0.00123,R22.85,0.00005,RAI,0,4h3h2d
1.51307,0.45559,7.18564,0.54441,0.6038403569,1.44250812,F,0.45451,C,0.4297,R10.05,0.11505,R16.45,0.00052,R22.85,0.00013,RAI,0.0001,4h3d2h
