oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,R150,actions/5/action_code,AI,flop
1.28906,0.41261,7.44085,0.58739,0.568029248,1.384442395,F,0.547,C,0.32882,R10.05,0.11552,R16.45,0.0079,R22.85,0.00075,RAI,0,2h2d2c
1.56031,0.42063,7.14324,0.57937,0.6744471935,1.347466964,F,0.47628,C,0.41372,R10.05,0.0723,R16.45,0.03705,R22.85,0.00065,RAI,0,3h2h2d
1.76963,0.43488,6.93215,0.56512,0.739861363,1.340621521,F,0.47161,C,0.40067,R10.05,0.12538,R16.45,0.00234,R22.85,0,RAI,0,3h2d2c
1.4887,0.42015,7.21954,0.57985,0.6442287886,1.360732523,F,0.48604,C,0.39449,R10.05,0.0847,R16.45,0.03436,R22.85,0.00042,RAI,0,3h3d2h
1.67181,0.43386,7.0358,0.56614,0.7006072406,1.358215095,F,0.49599,C,0.3537,R10.05,0.13027,R16.45,0.0169,R22.85,0.00177,RAI,0.00136,3d3c2h
1.36157,0.41787,7.37168,0.58213,0.5924287237,1.383965855,F,0.55552,C,0.33368,R10.05,0.10612,R16.45,0.00467,R22.85,0,RAI,0,3h3d3c
1.54804,0.42246,7.15274,0.57754,0.6662449247,1.353534379,F,0.46978,C,0.42247,R10.05,0.06982,R16.45,0.03734,R22.85,0.00059,RAI,0,4h2h2d
1.77687,0.43602,6.92204,0.56398,0.7409460224,1.341372255,F,0.46231,C,0.41998,R10.05,0.11342,R16.45,0.00427,R22.85,0.00001,RAI,0,4h2d2c
1.49059,0.4587,7.23954,0.5413,0.5908357502,1.461678496,F,0.49367,C,0.49679,R10.05,0.00684,R16.45,0.00113,R22.85,0.00112,RAI,0.00045,4h3h2h
1.4622,0.43913,7.24204,0.56087,0.6054119481,1.411164459,F,0.46988,C,0.41384,R10.05,0.11621,R16.45,0.00005,R22.85,0,RAI,0.00002,4h3h2d
1.46007,0.43951,7.24478,0.56049,0.6040073778,1.412655399,F,0.47087,C,0.4114,R10.05,0.1176,R16.45,0.00012,R22.85,0,RAI,0.00001,4h3d2h
1.46376,0.44043,7.24004,0.55957,0.604268996,1.414052152,F,0.47071,C,0.41201,R10.05,0.11725,R16.45,0.00002,R22.85,0,RAI,0,4d3h2h
1.46689,0.44248,7.22782,0.55752,0.6027555368,1.41685628,F,0.45196,C,0.45793,R10.05,0.09003,R16.45,0.00007,R22.85,0,RAI,0,4h3d2c
1.52195,0.42969,7.17924,0.57031,0.6439949285,1.375771813,F,0.47738,C,0.40271,R10.05,0.09539,R16.45,0.02444,R22.85,0.00007,RAI,0,4h3h3d
1.64692,0.44091,7.05737,0.55909,0.6791408359,1.379558323,F,0.47751,C,0.38637,R10.05,0.10778,R16.45,0.02673,R22.85,0.00153,RAI,0.00007,4h3d3c
1.45346,0.42922,7.24953,0.57078,0.615687657,1.388097642,F,0.48647,C,0.39054,R10.05,0.1013,R16.45,0.02063,R22.85,0.00106,RAI,0,4h4d2h
1.57152,0.44297,7.14273,0.55703,0.6450344241,1.401407867,F,0.49836,C,0.34632,R10.05,0.13151,R16.45,0.02037,R22.85,0.00197,RAI,0.00148,4d4c2h
1.50771,0.43659,7.19698,0.56341,0.6278867954,1.396061862,F,0.48627,C,0.37967,R10.05,0.1174,R16.45,0.01574,R22.85,0.00092,RAI,0,4h4d3h
1.58879,0.44695,7.12704,0.55305,0.6463159799,1.408392535,F,0.49189,C,0.35634,R10.05,0.12722,R16.45,0.02243,R22.85,0.00182,RAI,0.00032,4d4c3h
1.43096,0.41826,7.30312,0.58174,0.6220402409,1.372013574,F,0.55762,C,0.32505,R10.05,0.11689,R16.45,0.00043,R22.85,0,RAI,0,4h4d4c
1.56383,0.42583,7.13563,0.57417,0.6677141727,1.358221949,F,0.46662,C,0.42028,R10.05,0.07905,R16.45,0.03287,R22.85,0.00117,RAI,0,5h2h2d
1.7746,0.43762,6.92266,0.56238,0.7372938633,1.345308916,F,0.45692,C,0.43292,R10.05,0.10421,R16.45,0.00594,R22.85,0.00001,RAI,0,5h2d2c
1.53308,0.46254,7.21402,0.53746,0.6026328846,1.466932272,F,0.49176,C,0.49393,R10.05,0.01189,R16.45,0.0012,R22.85,0.00112,RAI,0.0001,5h3h2h
1.4952,0.44176,7.2079,0.55824,0.6153896916,1.411128984,F,0.46583,C,0.41774,R10.05,0.11624,R16.45,0.00019,R22.85,0,RAI,0,5d3h2h
1.49624,0.44315,7.21294,0.55685,0.6138861143,1.415640575,F,0.47023,C,0.39373,R10.05,0.1354,R16.45,0.00063,R22.85,0,RAI,0,5h3h2d
1.49224,0.44384,7.2151,0.55616,0.6112931613,1.417821376,F,0.47148,C,0.38907,R10.05,0.13898,R16.45,0.00047,R22.85,0,RAI,0,5h3d2h
1.47826,0.44898,7.2151,0.55102,0.5986336822,1.431046897,F,0.45287,C,0.43345,R10.05,0.11003,R16.45,0.00257,R22.85,0.00107,RAI,0,5h3d2c
1.52709,0.43187,7.17453,0.56813,0.6429080745,1.38014472,F,0.47205,C,0.40708,R10.05,0.09688,R16.45,0.02396,R22.85,0.00002,RAI,0,5h3h3d
1.6379,0.4435,7.06648,0.5565,0.6714768679,1.387767995,F,0.46976,C,0.39683,R10.05,0.10337,R16.45,0.02979,R22.85,0.00025,RAI,0,5h3d3c
1.55413,0.46753,7.15081,0.53247,0.6043870468,1.467705752,F,0.48731,C,0.49938,R10.05,0.01095,R16.45,0.00116,R22.85,0.00109,RAI,0.00011,5h4h2h
1.51316,0.447,7.18836,0.553,0.6154809847,1.420638655,F,0.46555,C,0.40436,R10.05,0.1297,R16.45,0.00039,R22.85,0,RAI,0,5h4h2d
1.50594,0.44762,7.19667,0.55238,0.6116957751,1.423877188,F,0.4635,C,0.40995,R10.05,0.12605,R16.45,0.0005,R22.85,0,RAI,0,5h4d2h
1.51161,0.44739,7.19063,0.55261,0.6143145657,1.422090129,F,0.46221,C,0.41866,R10.05,0.11883,R16.45,0.00029,R22.85,0,RAI,0,5d4h2h
1.49111,0.45465,7.2072,0.54535,0.5963068171,1.444342376,F,0.44878,C,0.43324,R10.05,0.1143,R16.45,0.00257,R22.85,0.0011,RAI,0,5h4d2c
1.5911,0.46818,7.11422,0.53182,0.6179053025,1.461980368,F,0.47901,C,0.50557,R10.05,0.01322,R16.45,0.00111,R22.85,0.00104,RAI,0.00004,5h4h3h
1.44938,0.44843,7.24827,0.55157,0.5876583695,1.436192436,F,0.45058,C,0.43711,R10.05,0.11174,R16.45,0.00057,R22.85,0.00001,RAI,0,5d4h3h
1.45658,0.44802,7.24126,0.55198,0.5911180939,1.433737662,F,0.45083,C,0.43501,R10.05,0.1137,R16.45,0.00045,R22.85,0,RAI,0,5h4h3d
1.4498,0.44815,7.24872,0.55185,0.5881959107,1.435552822,F,0.45013,C,0.43576,R10.05,0.11383,R16.45,0.00025,R22.85,0.00002,RAI,0,5h4d3h
1.44103,0.44974,7.24919,0.55026,0.5825709598,1.439794235,F,0.4358,C,0.46549,R10.05,0.0976,R16.45,0.00064,R22.85,0.00047,RAI,0,5h4d3c
1.54982,0.44365,7.15124,0.55635,0.6351525756,1.404792451,F,0.46963,C,0.40848,R10.05,0.11706,R16.45,0.00471,R22.85,0.00011,RAI,0,5h4h4d
1.5762,0.45288,7.12701,0.54712,0.6327985842,1.423651517,F,0.47013,C,0.38542,R10.05,0.12978,R16.45,0.01333,R22.85,0.00133,RAI,0.00001,5h4d4c
1.49503,0.43547,7.20458,0.56453,0.6242074894,1.394763348,F,0.48516,C,0.3886,R10.05,0.10924,R16.45,0.01513,R22.85,0.00187,RAI,0,5h5d2h
1.60499,0.45072,7.10217,0.54928,0.647444881,1.413110725,F,0.4938,C,0.35675,R10.05,0.13113,R16.45,0.01559,R22.85,0.0019,RAI,0.00083,5d5c2h
1.5476,0.44436,7.15377,0.55564,0.6332294343,1.407085179,F,0.48449,C,0.38314,R10.05,0.11913,R16.45,0.01177,R22.85,0.00147,RAI,0,5h5d3h
1.6281,0.45413,7.07319,0.54587,0.6518358017,1.416136157,F,0.48589,C,0.36456,R10.05,0.13493,R16.45,0.01271,R22.85,0.00184,RAI,0.00007,5d5c3h
1.54929,0.44634,7.15124,0.55366,0.6311087594,1.411617788,F,0.47658,C,0.39009,R10.05,0.12962,R16.45,0.00279,R22.85,0.00092,RAI,0,5h5d4h
1.60446,0.45778,7.10232,0.54222,0.6372493292,1.431540449,F,0.47458,C,0.37571,R10.05,0.1374,R16.45,0.01034,R22.85,0.00192,RAI,0.00004,5d5c4h
1.45037,0.42062,7.2846,0.57938,0.626940306,1.374108801,F,0.55994,C,0.32899,R10.05,0.11053,R16.45,0.00053,R22.85,0,RAI,0,5h5d5c
1.55509,0.43066,7.14167,0.56934,0.6565355993,1.370903889,F,0.45692,C,0.44229,R10.05,0.08581,R16.45,0.01355,R22.85,0.00144,RAI,0,6h2h2d
1.73977,0.44287,6.95378,0.55713,0.7142543738,1.364090973,F,0.44722,C,0.44809,R10.05,0.09936,R16.45,0.00532,R22.85,0.00001,RAI,0,6h2d2c
1.53444,0.46237,7.17864,0.53763,0.6033892625,1.459276409,F,0.48492,C,0.50598,R10.05,0.00611,R16.45,0.00114,R22.85,0.00116,RAI,0.00069,6h3h2h
1.43715,0.44532,7.26091,0.55468,0.5867690521,1.430630444,F,0.4559,C,0.4232,R10.05,0.11477,R16.45,0.00273,R22.85,0.00002,RAI,0.00339,6d3h2h
1.43132,0.44481,7.26672,0.55519,0.5850587655,1.430459826,F,0.45668,C,0.4198,R10.05,0.11745,R16.45,0.00271,R22.85,0.0002,RAI,0.00316,6h3h2d
1.433,0.44425,7.2654,0.55575,0.5864838629,1.428758906,F,0.45584,C,0.41871,R10.05,0.117,R16.45,0.00329,R22.85,0.00027,RAI,0.0049,6h3d2h
1.50665,0.44916,7.18239,0.55084,0.6098859037,1.425024781,F,0.43643,C,0.45793,R10.05,0.0891,R16.45,0.01654,R22.85,0,RAI,0,6h3d2c
1.53966,0.43385,7.16239,0.56615,0.6452418666,1.382628059,F,0.47032,C,0.40623,R10.05,0.11394,R16.45,0.0095,R22.85,0,RAI,0,6h3h3d
1.65732,0.44618,7.03813,0.55382,0.6753573057,1.38888898,F,0.45812,C,0.41986,R10.05,0.10343,R16.45,0.01859,R22.85,0,RAI,0,6h3d3c
1.60011,0.46894,7.10257,0.53106,0.620397294,1.461675128,F,0.47728,C,0.50762,R10.05,0.01366,R16.45,0.00082,R22.85,0.00057,RAI,0.00004,6h4h2h
1.49305,0.45456,7.2054,0.54544,0.597200866,1.443743368,F,0.45238,C,0.39878,R10.05,0.13977,R16.45,0.00699,R22.85,0.00029,RAI,0.00179,6d4h2h
1.50935,0.45702,7.18614,0.54298,0.6004709936,1.446407743,F,0.45465,C,0.38766,R10.05,0.13512,R16.45,0.02028,R22.85,0.00164,RAI,0.00066,6h4h2d
1.50254,0.45571,7.19708,0.54429,0.5994801369,1.445123236,F,0.45455,C,0.38964,R10.05,0.13306,R16.45,0.01829,R22.85,0.00141,RAI,0.00306,6h4d2h
1.61847,0.47201,7.07213,0.52799,0.6234344031,1.463873234,F,0.44029,C,0.41517,R10.05,0.11042,R16.45,0.03251,R22.85,0.00161,RAI,0,6h4d2c
1.60773,0.47684,7.0769,0.52316,0.6130244056,1.478384668,F,0.47415,C,0.50437,R10.05,0.02041,R16.45,0.00058,R22.85,0.00047,RAI,0.00003,6h4h3h
1.55701,0.47413,7.15587,0.52587,0.5970783001,1.487177921,F,0.44716,C,0.37995,R10.05,0.14643,R16.45,0.02392,R22.85,0.00231,RAI,0.00023,6d4h3h
1.56032,0.48124,7.13937,0.51876,0.5895074111,1.504084691,F,0.45255,C,0.3464,R10.05,0.1657,R16.45,0.03185,R22.85,0.00264,RAI,0.00086,6h4h3d
1.52272,0.48078,7.17271,0.51922,0.5758521047,1.509769913,F,0.45017,C,0.36099,R10.05,0.15165,R16.45,0.0325,R22.85,0.00243,RAI,0.00226,6h4d3h
1.48037,0.51463,7.18763,0.48537,0.523012999,1.618421691,F,0.44215,C,0.34466,R10.05,0.16902,R16.45,0.04335,R22.85,0.00077,RAI,0.00005,6h4d3c
1.56892,0.44464,7.13458,0.55536,0.6415486191,1.404018127,F,0.46624,C,0.41236,R10.05,0.11973,R16.45,0.00164,R22.85,0.00003,RAI,0,6h4h4d
1.60804,0.4555,7.08675,0.5445,0.6418680577,1.422420954,F,0.46288,C,0.39956,R10.05,0.12769,R16.45,0.00914,R22.85,0.00073,RAI,0,6h4d4c
1.62639,0.47313,7.07963,0.52687,0.6250021703,1.468540675,F,0.47275,C,0.50706,R10.05,0.01949,R16.45,0.00037,R22.85,0.00028,RAI,0.00005,6h5h2h
1.51966,0.4596,7.174,0.5404,0.6011788871,1.450857978,F,0.44732,C,0.40149,R10.05,0.13332,R16.45,0.01159,R22.85,0.00166,RAI,0.00463,6h5d2h
1.52237,0.45868,7.17357,0.54132,0.6034589248,1.44830544,F,0.44614,C,0.40599,R10.05,0.12809,R16.45,0.01835,R22.85,0.00137,RAI,0.00006,6h5h2d
1.5143,0.45933,7.18144,0.54067,0.5994106093,1.451637504,F,0.4455,C,0.40698,R10.05,0.13788,R16.45,0.00659,R22.85,0.00052,RAI,0.00252,6d5h2h
1.62156,0.47411,7.06375,0.52589,0.6218579703,1.467977188,F,0.43298,C,0.42565,R10.05,0.11124,R16.45,0.02814,R22.85,0.00199,RAI,0,6h5d2c
1.63779,0.47956,7.0801,0.52044,0.6209442013,1.486783209,F,0.46909,C,0.50369,R10.05,0.0266,R16.45,0.00036,R22.85,0.00026,RAI,0,6h5h3h
